street_address,zip_code,store_types,total_auth_count,deauth_count,address_history_years,churn_tier,store_names
17TH ST & BROADWAY,10003,Farmers' Market | Fruits/Veg Specialty | Meat/Poultry Specialty,12,12,33.8,Very High,3-CORNER FIELD FARM-GM | ELK TRAILS BISON RANCH (GM) | NEW YORK BEEF CO - GM | PAFFENROTH GARDENS - GM | RYDER FARM COTTAGE INDUST-GM | S&SO PRODUCE FARMS - GM
2641 Decatur Ave,10458,Convenience Store | Small Grocery Store,11,11,20.7,Very High,2641 DECATUR AVENUE INC | Adan Food Center | Allen Gourmet Deli Inc | Decator Deli Corp | J.P. Deli Grocery | Pikkapiedras Inc
404 Marcus Garvey Blvd,11216,Convenience Store | Medium Grocery Store | Small Grocery Store,11,10,21.8,Very High,Chemi Deli Grocery Corp | Halsey Food Corp | Khashafa Corp | Laeth Food Corp | M & L Deli Grocery Corp | MORAIS FOOD CORP
8118 5th Ave,11209,Convenience Store | Small Grocery Store,10,9,33.3,Very High,BAY RIDGE GROCERY INC | Bay Ridge King's Market Inc | Darby & Joan Inc | Darbys Deli  & Grocery | Emily Farm Corp | Li Darby's Deli & Grocery Inc
237 E 203rd St,10458,Convenience Store | Medium Grocery Store | Small Grocery Store,10,9,29.1,Very High,"4 Corazones Grocery Store Inc | 4 Corazones Grocery Store, Inc | Cerrito Limon Grocery Store Corp | EL PRINCIPE GROCERY STORE CO | El Principe Grocery Store Corp | El Principle Grocery Store Corp."
540 Hegeman Ave,11207,Convenience Store | Small Grocery Store,10,10,26.4,Very High,50 Stars Candy & Grocery Inc | Antar Deli Grocery Corp | Carlitos Deli Grocery Corp | Hegeman Grocery Store | King Of East Corp | MORENO DELI GROCERY
509 Cortelyou Rd,11218,Medium Grocery Store | Small Grocery Store,10,10,21.8,Very High,Ahil & Mahia Grocery Inc | Bangla Bazar Grocery Inc. | Diganta | Diganta Grocery Inc | Kosher Meat Market Inc | Kosher Mini Market Co
1393 Plimpton Ave,10452,Convenience Store | Medium Grocery Store | Small Grocery Store,10,9,21.9,Very High,1393 Junior Deli Grocery Corp | Ayell Deli Grocery Corp | F & A Deli Grocery Corp | J.P. DELI GROCERY INC | JP Deli Grocery Corp | La Estacion Deli Grocery Corp
362 Willis Ave,10454,Convenience Store | Medium Grocery Store | Small Grocery Store,10,10,20.3,Very High,362 DELI GROCERY INC | 362 Grocery Corporation | 362 Willis Deli Inc | Jhonny 5 Deli Grocery Inc | Mott Haven Deli Grocery Inc | Mott Haven Market and Deli Grocery Inc
1060 Belmont Ave,11208,Medium Grocery Store | Small Grocery Store,10,10,20.8,Very High,Al Madina Supermarket Inc | Analia Minimarket Corp | Angelina Mini Market | Angie Grocery | Dhaka Halal Food Corp | ELIZA GROCERY CORP
