store_name,street_address,borough,state,zip_code,case_type,fad_date,case_number,outcome
Moon Mini Market LLC,701 Church Ave.,Brooklyn,NY,11218,Permanent Disqualification,06/28/2022,C0249314,Sustained
Raspberry Deli Corp.,1368 Loring Ave.,Brooklyn,NY,11208,Permanent Disqualification,06/27/2022,C0246026,Sustained
Shabad Deli & Grocery Corp.,2387 Stillwell Ave.,Brooklyn,NY,11223,Permanent Disqualification,06/02/2022,C0213667,Sustained
Constanza Deli Grocery Corp.,627 Blake Ave.,Brooklyn,NY,11207,Permanent Disqualification,08/04/2022,C0225962,Sustained
Hancock Deli,865 Hancock St.,Brooklyn,NY,11233,Permanent Disqualification,08/08/2022,C0203048,Sustained
Ma Goodluck Convenience Inc.,2207 Bath Ave.,Brooklyn,NY,11214,Permanent Disqualification,08/12/2022,C0243798,Sustained
Green Deli Mart Inc.,33 Patchen Ave.,Brooklyn,NY,11221,Permanent Disqualification,09/20/2022,C0220748,Sustained
Ask Deli Corp,4421 New Utrecht Ave.,Brooklyn,NY,11219,Permanent Disqualification,07/27/2022,C0221178,Sustained
Fresh Gourmet Corp,1524 Jefferson Ave.,Brooklyn,NY,11237,Permanent Disqualification,08/05/2022,C0251535,Sustained
Ci Gourmet Deli Grocery Corp,3602 Neptune Ave.,Brooklyn,NY,11224,Permanent Disqualification,07/12/2022,C0249228,Sustained
Stillwell Convenience Inc,1801 Stillwell Ave.,Brooklyn,NY,11223,Permanent Disqualification,07/28/2022,C0251964,Sustained
Diaz Food Center,335 S. 2nd St.,Brooklyn,NY,11211,Permanent Disqualification,11/02/2022,C0254107,Sustained
14th Street Deli Corp.,1133 Brighton Beach Ave.,Brooklyn,NY,11235,Permanent Disqualification,03/02/2023,C0251918,Sustained
158 Deli Corp.,158 Nostrand Ave.,Brooklyn,NY,11205,Permanent Disqualification,03/27/2023,C0255582,Sustained
Bumbi Mini Market Corp,161 Utica Ave.,Brooklyn,NY,11213,Permanent Disqualification,02/10/2023,C0256333,Sustained
Jasim 1 Gourmet Deli Inc,244 11th St.,Brooklyn,NY,11215,Permanent Disqualification,02/27/2023,C0256872,Sustained
F & A Grocery Corp. I,3596 Nostrand Ave.,Brooklyn,NY,11229,Permanent Disqualification,03/01/2023,C0257395,Sustained
250 Food Mart Corp,248 Livonia Ave.,Brooklyn,NY,11207,Permanent Disqualification,04/19/2023,C0255646,Sustained
Tio Minimarket and Deli Corp,2737 Fulton St.,Brooklyn,NY,11207,Permanent Disqualification,04/04/2023,C0253148,Sustained
Stanley Deli & Grocery Inc,1154 Stanley Ave.,Brooklyn,NY,11208,Permanent Disqualification,04/24/2023,C0205908,Sustained
Los Catrachos Deli Corp.,948 Dumont Ave.,Brooklyn,NY,11207,Permanent Disqualification,03/10/2023,C0227158,Sustained
New Nano Deli Grocery Corp,375 Bushwick Ave.,Brooklyn,NY,11206,Permanent Disqualification,04/04/2023,C0256428,Sustained
Wan Jia Mini Mart Inc.,5623 Fort Hamilton Parkway,Brooklyn,NY,11219,Permanent Disqualification,03/06/2023,C0256648,Sustained
Alanteri Deli Corp,719 Fulton St.,Brooklyn,NY,11207,Permanent Disqualification,05/17/2023,C0223555,Sustained
AC Tropical Corp,108 Moore St.,Brooklyn,NY,11222,Permanent Disqualification,05/21/2023,C0253083,Sustained
1624 Smoke Shop Corp.,1624 Newkirk Ave.,Brooklyn,NY,11226,Permanent Disqualification,06/07/2023,C0248838,Sustained
Ayesha Deli Grocery Corp.,333 Pulaski St.,Brooklyn,NY,11206,Permanent Disqualification,06/08/2023,C0227693,Sustained
BFK Deli Corp.,231 Rockaway Ave.,Brooklyn,NY,11233,Permanent Disqualification,06/28/2023,C0247809,Sustained
Canarsie Deli Grocery Corp.,2124 Rockaway Parkway,Brooklyn,NY,11236,Permanent Disqualification,06/08/2023,C0247801,Sustained
R.H.N. Corp.,2620 Cropsey Ave.,Brooklyn,NY,11214,Permanent Disqualification,06/27/2023,C0249806,Sustained
Great Land Deli Corp,290 Knickerbocker Ave.,Brooklyn,NY,11237,Permanent Disqualification,05/10/2023,C0249146,Sustained
V.A. Grocery & Deli Corp.,207 Hull St.,Brooklyn,NY,11233,Permanent Disqualification,06/12/2023,C0250197,Sustained
Lewis Ave Grocery Corp,98 1/2 Lewis Ave.,Brooklyn,NY,11206,Permanent Disqualification,05/22/2023,C0257460,Sustained
116 Greene Bites Corp,116 Dekalb Ave.,Brooklyn,NY,11205,Permanent Disqualification,07/27/2023,C0253404,Sustained
Alsadi Food Salad Juice Corp.,767 4th Ave.,Brooklyn,NY,11232,Permanent Disqualification,08/02/2023,C0258149,Sustained
Clarendon of Kings Deli & Grill Inc.,3522 Clarendon Road,Brooklyn,NY,11203,Permanent Disqualification,08/03/2023,C0258105,Sustained
Evergreen Gourmet Deli Inc.,1549 Pitkin Ave.,Brooklyn,NY,11212,Permanent Disqualification,08/28/2023,C0246181,Sustained
Paula Market & Deli Corp.,276 Humboldt St.,Brooklyn,NY,11206,Permanent Disqualification,08/17/2023,C0265243,Sustained
S & O Star Deli Co.,6602 Bay Parkway,Brooklyn,NY,11204,Permanent Disqualification,08/16/2023,C0257215,Sustained
New J & T Grocery Deli Corp.,438 Troy Ave.,Brooklyn,NY,11203,Permanent Disqualification,09/06/2023,C0256326,Sustained
S & W Deli Corp.,2301 Stillwell Ave.,Brooklyn,NY,11223,Permanent Disqualification,09/13/2023,C0265478,Sustained
Strauss Meat Market Corp.,2314 Strauss St.,Brooklyn,NY,11212,Permanent Disqualification,09/20/2023,C0222704,Sustained
Atlantic Best Delicatessen Inc.,2053 Atlantic Ave.,Brooklyn,NY,11233,Permanent Disqualification,06/05/2023,C0247700,Sustained
947 Deli Grocery Corp,947 E. 163rd St.,Bronx,NY,10459,Permanent Disqualification,10/04/2023,C0256185,Sustained
Johara Produce Corp.,350 E. Gun Hill Road,Bronx,NY,10467,Permanent Disqualification,11/06/2023,C0269194,Sustained
Lorena Deli and Grocery,611 E 183rd St.,Bronx,NY,10458,Permanent Disqualification,12/07/2022,C0245729,Sustained
Sister Discount Corp,1401 Webster Ave.,Bronx,NY,10456,Permanent Disqualification,01/31/2023,C0251656,Sustained
1681 Deli Grocery Corp,1681 Bruckner Blvd.,Bronx,NY,10472,Permanent Disqualification,01/20/2023,C0253714,Sustained
Forest Deli NY Corp,782 E 163rd St.,Bronx,NY,10456,Permanent Disqualification,01/10/2023,C0227876,Sustained
239 International Deli Discount Corp.,239 E. 181st St.,Bronx,NY,10457,Permanent Disqualification,03/06/2023,C0215895,Sustained
674 Neighborhood Grocery Corp.,674 E. 136th St.,Bronx,NY,10454,Permanent Disqualification,03/27/2023,C0249358,Sustained
875 E. Tremont Grocery Deli Corp.,875 E. Tremont Ave.,Bronx,NY,10460,Permanent Disqualification,03/02/2023,C0224227,Sustained
Burnside Finest Deli Inc.,6 W. Burnside Ave.,Bronx,NY,10453,Permanent Disqualification,03/28/2023,C0251821,Sustained
Golden Deli Food Corp.,267 E. Tremont Ave.,Bronx,NY,10457,Permanent Disqualification,03/20/2023,C0207719,Sustained
DJ Deli Grocery Corp,821 Jennings St.,Bronx,NY,10459,Permanent Disqualification,04/19/2023,C0256237,Sustained
Jandinga Deli Grocery Store Corp,900 Hoe Ave.,Bronx,NY,10459,Permanent Disqualification,04/26/2023,C0258366,Sustained
Tu Mundo Deli Grocery Corp.,860 E. 180th St.,Bronx,NY,10460,Permanent Disqualification,03/21/2023,C0251099,Sustained
Walton Deli & Grocery,975 Walton Ave.,Bronx,NY,10452,Permanent Disqualification,03/27/2023,C0248974,Sustained
24 Hour King Deli Corporation,3593 3rd Ave.,Bronx,NY,10456,Permanent Disqualification,05/09/2023,C0255579,Sustained
Alex Deli Grocery Corp,1278 Morrison Ave.,Bronx,NY,10472,Permanent Disqualification,05/01/2023,C0247568,Sustained
Albaraka Enterprise Inc.,1011 Ogden Ave.,Bronx,NY,10452,Permanent Disqualification,06/05/2023,C0249762,Sustained
AM Gourmet Deli Corp.,2101 Williamsbridge Road,Bronx,NY,10461,Permanent Disqualification,06/05/2023,C0250385,Sustained
La Charrita Deli Grocery,416 Willis Ave.,Bronx,NY,10454,Permanent Disqualification,06/23/2023,C0255058,Sustained
Max Pizza Food Center Inc,45 Richman Plaza,Bronx,NY,10453,Permanent Disqualification,05/03/2023,C0250850,Sustained
Mohca Finest Deli Corp,3840 E. Tremont Ave.,Bronx,NY,10465,Permanent Disqualification,05/09/2023,C0256596,Sustained
Ra Johnny's Deli Grocery LLC,2641 Decatur Ave.,Bronx,NY,10458,Permanent Disqualification,05/24/2023,C0252946,Sustained
Jb Gourmet Deli Corp,1822 Archer St.,Bronx,NY,10460,Permanent Disqualification,05/31/2023,C0253485,Sustained
Djobo African & Middle East Market,984 Intervale Ave.,Bronx,NY,10459,Permanent Disqualification,07/31/2023,C0253746,Sustained
522 Lincoln Deli & Grocery Corp.,522 Morris Ave.,Bronx,NY,10451,Permanent Disqualification,08/03/2023,C0267354,Sustained
EZ Pass Organic Deli Corp.,688 E. 187th St.,Bronx,NY,10458,Permanent Disqualification,08/07/2023,C0257764,Sustained
Jaa Deli Grocery Corp.,214B E. 180th St.,Bronx,NY,10457,Permanent Disqualification,08/10/2023,C0254311,Sustained
Happy Days Grocery Food Corp,379 Bedford Park Blvd.,Bronx,NY,10458,Permanent Disqualification,07/27/2023,C0249486,Sustained
Bella Tejalpa Deli Grocery Inc.,2424 Hughes Ave.,Bronx,NY,10458,Permanent Disqualification,09/06/2023,C0250632,Sustained
Monday Deli Grocery Inc.,1480 Westchester Ave.,Bronx,NY,10472,Permanent Disqualification,09/13/2023,C0257467,Sustained
1278 Deli & Grocery Corp.,1278 Morrison Ave.,Bronx,NY,10472,Permanent Disqualification,08/22/2022,C0197324,Sustained
Brother Hood Gourmet Deli Corp.,703 Southern Blvd.,Bronx,NY,10455,Permanent Disqualification,08/15/2022,C0196084,Sustained
MG Bus Stop Deli Corp.,271 E. 206th St.,Bronx,NY,10467,Permanent Disqualification,08/29/2022,C0248772,Sustained
Los Nietos Deli Grocery Corp.,305 E. 166th St.,Bronx,NY,10456,Permanent Disqualification,09/27/2022,C0226793,Sustained
Delicias Hispanas Deli,14601 34th Ave.,Queens,NY,11354,Permanent Disqualification,07/27/2022,C0249680,Sustained
Ashley Deli Grocery Inc.,15824 110th Ave.,Queens,NY,11433,Permanent Disqualification,08/01/2022,C0247438,Sustained
B & B Deli Mini Mart Inc.,13802 Farmers Blvd.,Queens,NY,11434,Permanent Disqualification,03/28/2023,C0256169,Sustained
Gray Grocery Corp.,8912 163rd St.,Queens,NY,11432,Permanent Disqualification,08/16/2023,C0257193,Sustained
Kingstar Gourmet Grocery Corp.,5605 Metropolitan Ave.,Queens,NY,11385,Permanent Disqualification,09/27/2022,C0251615,Sustained
Gold Star Deli & Grocery Inc.,9310 Liberty Ave.,Queens,NY,11417,Permanent Disqualification,08/18/2022,C0185298,Sustained
Gorkha Mini Mart Inc.,8542 Grand Ave.,Queens,NY,11373,Permanent Disqualification,08/29/2022,C0253388,Sustained
38 Ave Deli and Grocery Inc 01,3802 31st St.,Queens,NY,11101,Permanent Disqualification,04/19/2023,C0253239,Sustained
Mona Newsstand Inc,111-01 Lefferts Blvd.,Queens,NY,11420,Permanent Disqualification,05/21/2023,C0256260,Sustained
Sorrentino's Market,9920 Rockaway Blvd.,Queens,NY,11694,Permanent Disqualification,06/14/2023,C0260172,Sustained
Co Pan Deli II Inc.,10401 Francis Lewis Blvd.,Queens,NY,11429,Permanent Disqualification,08/15/2023,C0142371,Sustained
91st Bodega Inc.,9102 97th Ave.,Queens,NY,11416,Permanent Disqualification,09/05/2023,C0248823,Sustained
Skyblue Gourmet Deli Inc.,5607 Junction Blvd.,Queens,NY,11373,Permanent Disqualification,09/25/2023,C0265337,Sustained
Goldmore Deli and Grill Inc.,1416 Comaga Ave.,Queens,NY,11691,Permanent Disqualification,11/09/2023,C0250350,Sustained
Eighth Avenue Gourmet Deli Inc,134 8th Ave.,Manhattan,NY,10011,Permanent Disqualification,02/21/2023,C0246059,Sustained
EZ Food Market Corp.,25 Sherman Ave.,Manhattan,NY,10040,Permanent Disqualification,03/28/2023,C0254138,Sustained
