fns_record_id,store_name,store_type,street_address,city,borough,zip_code,county,state,latitude,longitude
961466,Steinway Deli Mart Inc.,Convenience Store,2079 Steinway St,Astoria,Queens,11105,QUEENS,NY,40.7747,-73.90358
1534952,Astoria Town Deli Grocery Corp,Convenience Store,24-20 Ditmars Blvd,Astoria,Queens,11105,QUEENS,NY,40.77877,-73.91468
1649683,Optom Uz Halal Inc,Convenience Store,6710 Bay Pkwy,Brooklyn,Brooklyn,11204,KINGS,NY,40.612598,-73.982994
1205975,Sea & Salt Seafood Corp,Other,15 E 170th St,Bronx,Bronx,10452,BRONX,NY,40.840118,-73.917038
1351782,7-Eleven 35050J,Convenience Store,2229 31st St,Astoria,Queens,11105,QUEENS,NY,40.775375,-73.911362
1649041,Mena Grocery Inc,Convenience Store,8820 95th Ave,Ozone Park,Queens,11416,QUEENS,NY,40.685551,-73.852615
1623862,Alz Campus Deli Corp,Grocery Store,1622 Amsterdam Ave,New York,Manhattan,10031,NEW YORK,NY,40.822037,-73.95018
1632604,Lai Lai Mini Market & Discount Inc,Grocery Store,4520 Broadway,New York,Manhattan,10040,NEW YORK,NY,40.858467,-73.931503
1656807,Stop Deli And Grocery 1 Corp,Convenience Store,3929 Baychester Ave,Bronx,Bronx,10466,BRONX,NY,40.889297,-73.842484
1648875,Start Fresh Deli Corp,Convenience Store,4188 Barnes Ave,Bronx,Bronx,10466,BRONX,NY,40.892178,-73.854485
1627097,Hyatt Bagel Cafe,Convenience Store,9 Hyatt St,Staten Island,Staten Island,10301,RICHMOND,NY,40.64222,-74.076805
1652583,Jerome's Belly Deli Inc.,Grocery Store,1177 Jerome Ave,Bronx,Bronx,10452,BRONX,NY,40.835751,-73.923233
940883,Leena of NY Inc. d/b/a New Mart,Grocery Store,22112 Horace Harding Expy,Oakland Gardens,Queens,11364,QUEENS,NY,40.749046,-73.755783
1658209,Fordham Fruits & Vegetables Inc,Grocery Store,2450 Creston Ave,Bronx,Bronx,10468,BRONX,NY,40.86187,-73.898483
1274461,1086 Luna Deli Grocery Corp,Convenience Store,1086 Boston Rd,Bronx,Bronx,10456,BRONX,NY,40.826992,-73.905029
943381,635 Gourmet Express Deli Inc,Convenience Store,635 E 169th St,Bronx,Bronx,10456,BRONX,NY,40.831478,-73.901283
1625543,Luz Vegetable Fruit & Grocery LLC,Grocery Store,350A E 204th St,Bronx,Bronx,10467,BRONX,NY,40.871948,-73.877792
1621717,Mace Deli & Grill Inc,Convenience Store,2500 White Plains Rd,Bronx,Bronx,10467,BRONX,NY,40.863407,-73.867218
1627582,7 Eleven Store #32653c,Convenience Store,1252 Forest Ave,Staten Island,Staten Island,10302,RICHMOND,NY,40.625889,-74.131821
1626931,East Tremont New York Grill House Corp.,Convenience Store,1057 E Tremont Ave,Bronx,Bronx,10460,BRONX,NY,40.840412,-73.879417
1626393,Brwnsvile Gourmet Deli Inc.,Convenience Store,469 East 98th St,Brooklyn,Brooklyn,11212,KINGS,NY,40.65723,-73.914047
1616244,Modega Inc.,Convenience Store,101 Albemarle Rd,Brooklyn,Brooklyn,11218,KINGS,NY,40.645264,-73.979698
1630480,Mi Pueblito,Other,3916 104th St,Corona,Queens,11368,QUEENS,NY,40.75042,-73.862114
1631672,WZ Real Life,Grocery Store,133-51 41st Rd,Flushing,Queens,11355,QUEENS,NY,40.757362,-73.829834
1624828,Jiajia Grocery Inc,Grocery Store,5522 7th Ave,Brooklyn,Brooklyn,11220,KINGS,NY,40.639297,-74.009407
1627648,W.E.A.M Fruit & Vegetables,Grocery Store,3822 E Tremont Ave,Bronx,Bronx,10465,BRONX,NY,40.824623,-73.820557
1622800,City Line Fruits And Vegetables,Grocery Store,4710 White Plains Rd,Bronx,Bronx,10470,BRONX,NY,40.903816,-73.849808
1617839,Asha Grocery & Halal Meat Inc.,Grocery Store,3110 Bainbridge Ave,Bronx,Bronx,10467,BRONX,NY,40.87397,-73.87915
1630350,America's Natural Food,Other,46 Trinity Pl,New York,Manhattan,10006,NEW YORK,NY,40.707623,-74.013252
1633468,California Grill And Deli Corp,Convenience Store,1348B Amsterdam Ave,New York,Manhattan,10027,NEW YORK,NY,40.814056,-73.955994
1619594,Munchies Deli I,Convenience Store,500 Baychester Ave,Bronx,Bronx,10475,BRONX,NY,40.869228,-73.831543
1627029,Metro North Market Deli Inc,Grocery Store,1944 1st Ave,New York,Manhattan,10029,NEW YORK,NY,40.786095,-73.942421
1623069,151 Deli & Grocery Corp,Convenience Store,615 Melrose Ave,Bronx,Bronx,10455,BRONX,NY,40.817669,-73.917229
1633701,Amani Halal Meat Market Corp,Grocery Store,705 Rhinelander Ave,Bronx,Bronx,10462,BRONX,NY,40.84771,-73.86657
1623184,Green Apple,Convenience Store,2197 White Plains Rd,Bronx,Bronx,10462,BRONX,NY,40.857548,-73.867714
1625129,Tex Mex Deli & Grocery 1 Corp,Grocery Store,2311 Westchester Avenue,Bronx,Bronx,10462,BRONX,NY,40.835999,-73.847916
1633529,Dan's Quick Stop,Convenience Store,80 E 116th St,New York,Manhattan,10029,NEW YORK,NY,40.799328,-73.943665
1633408,Agramonte Grocery Store Corp.,Convenience Store,1208 Stratford Ave,Bronx,Bronx,10472,BRONX,NY,40.829697,-73.875488
1633702,Metro Cafe & Grill Corp,Convenience Store,1965 1st Ave,New York,Manhattan,10029,NEW YORK,NY,40.786598,-73.94236
1622120,Las 3's R Deli Grocery Corp.,Other,1001 East 167th Street,Bronx,Bronx,10459,BRONX,NY,40.826912,-73.889587
1631762,90-47 Deli Grocery Corp,Convenience Store,9047 149th St,Jamaica,Queens,11435,QUEENS,NY,40.702187,-73.805519
1630239,Bay Best Deli Inc.,Convenience Store,680 Bay St,Staten Island,Staten Island,10304,RICHMOND,NY,40.625477,-74.075111
1654353,Coastline Fish I'm Blue,Specialty Store,270 Marcus Garvey Blvd,Brooklyn,Brooklyn,11221,KINGS,NY,40.687614,-73.939812
1623860,Briella Deli & Grocery Corp,Convenience Store,1420 Grand Concourse,Bronx,Bronx,10456,BRONX,NY,40.839405,-73.912979
1626806,Parsons Halal Meat & Mini Supermarket,Grocery Store,83-39 Parsons Blvd,Jamaica,Queens,11432,QUEENS,NY,40.714638,-73.807182
1624790,Ez Double Discounter Corp.,Convenience Store,1207 White Plains Rd,Bronx,Bronx,10472,BRONX,NY,40.830715,-73.861923
1625232,5B Deli & Grocery Corp,Convenience Store,100 Thayer St,New York,Manhattan,10040,NEW YORK,NY,40.864594,-73.927925
1627935,Covert Food Corp,Convenience Store,830 Knickerbocker Ave,Brooklyn,Brooklyn,11207,KINGS,NY,40.691967,-73.90657
1646609,719 Brothers Famous Deli Corp,Convenience Store,719 9th Avenue,New York,Manhattan,10019,NEW YORK,NY,40.76284,-73.989639
1122671,I & C Meat Market Inc,Grocery Store,541 E 183rd St,Bronx,Bronx,10458,BRONX,NY,40.854511,-73.891571
1360467,1605 Grocery And Deli Market Corp.,Grocery Store,1605 Inwood Ave,Bronx,Bronx,10452,BRONX,NY,40.845749,-73.915222
1633918,Ferrera Deli Grocery Corp,Grocery Store,2381 Valentine Ave,Bronx,Bronx,10458,BRONX,NY,40.859043,-73.897423
418605,Don Juan Deli & Grocery,Convenience Store,110 Forsyth St,New York,Manhattan,10002,NEW YORK,NY,40.71899,-73.992409
1628454,Guy R Deli & Grill Corp.,Convenience Store,10902 Guy r Brewer Blvd,Jamaica,Queens,11433,QUEENS,NY,40.694809,-73.790123
