zip_code,borough,population,median_household_income,income_bracket,pct_below_poverty,poverty_tier
10001,Manhattan,27621,129852.0,Over $100k,16,Moderate (11-20%)
10002,Manhattan,74729,48386.0,$30k-$50k,25,High (21-30%)
10003,Manhattan,44368,154262.0,Over $100k,13,Moderate (11-20%)
10004,Manhattan,3860,,,4,Low (0-10%)
10005,Manhattan,9238,190233.0,Over $100k,5,Low (0-10%)
10006,Manhattan,4475,190170.0,Over $100k,13,Moderate (11-20%)
10007,Manhattan,7470,,,3,Low (0-10%)
10009,Manhattan,58283,92876.0,$75k-$100k,20,Moderate (11-20%)
10010,Manhattan,29548,144969.0,Over $100k,9,Low (0-10%)
10011,Manhattan,47366,145987.0,Over $100k,9,Low (0-10%)
10012,Manhattan,20871,137106.0,Over $100k,11,Moderate (11-20%)
10013,Manhattan,26287,161154.0,Over $100k,10,Low (0-10%)
10014,Manhattan,29384,176395.0,Over $100k,6,Low (0-10%)
10016,Manhattan,52988,140381.0,Over $100k,10,Low (0-10%)
10017,Manhattan,14945,136705.0,Over $100k,10,Low (0-10%)
10018,Manhattan,8710,145958.0,Over $100k,16,Moderate (11-20%)
10019,Manhattan,43950,128559.0,Over $100k,11,Moderate (11-20%)
10021,Manhattan,38853,158677.0,Over $100k,5,Low (0-10%)
10022,Manhattan,34048,172026.0,Over $100k,7,Low (0-10%)
10023,Manhattan,65388,159874.0,Over $100k,9,Low (0-10%)
10024,Manhattan,61694,181560.0,Over $100k,8,Low (0-10%)
10025,Manhattan,88473,108940.0,Over $100k,15,Moderate (11-20%)
10026,Manhattan,37050,81244.0,$75k-$100k,18,Moderate (11-20%)
10027,Manhattan,57272,59587.0,$50k-$75k,24,High (21-30%)
10028,Manhattan,45665,175121.0,Over $100k,5,Low (0-10%)
10029,Manhattan,72382,38695.0,$30k-$50k,31,Very High (>30%)
10030,Manhattan,30687,39802.0,$30k-$50k,33,Very High (>30%)
10031,Manhattan,59744,65283.0,$50k-$75k,23,High (21-30%)
10032,Manhattan,54238,56829.0,$50k-$75k,20,Moderate (11-20%)
10033,Manhattan,52745,75040.0,$75k-$100k,17,Moderate (11-20%)
10034,Manhattan,38979,67754.0,$50k-$75k,15,Moderate (11-20%)
10035,Manhattan,38118,45121.0,$30k-$50k,37,Very High (>30%)
10036,Manhattan,30218,95638.0,$75k-$100k,14,Moderate (11-20%)
10037,Manhattan,18071,49153.0,$30k-$50k,28,High (21-30%)
10038,Manhattan,21895,105419.0,Over $100k,18,Moderate (11-20%)
10039,Manhattan,30425,45371.0,$30k-$50k,28,High (21-30%)
10040,Manhattan,40695,65516.0,$50k-$75k,17,Moderate (11-20%)
10044,Manhattan,11313,103347.0,Over $100k,11,Moderate (11-20%)
10065,Manhattan,30904,155331.0,Over $100k,6,Low (0-10%)
10069,Manhattan,6669,233636.0,Over $100k,27,High (21-30%)
10075,Manhattan,23351,155902.0,Over $100k,13,Moderate (11-20%)
10128,Manhattan,58712,147772.0,Over $100k,8,Low (0-10%)
10280,Manhattan,8668,206299.0,Over $100k,4,Low (0-10%)
10282,Manhattan,5960,,,6,Low (0-10%)
10301,Staten Island,38591,85609.0,$75k-$100k,18,Moderate (11-20%)
10302,Staten Island,19666,78263.0,$75k-$100k,20,Moderate (11-20%)
10303,Staten Island,25956,83947.0,$75k-$100k,19,Moderate (11-20%)
10304,Staten Island,44617,71561.0,$50k-$75k,18,Moderate (11-20%)
10305,Staten Island,41240,83413.0,$75k-$100k,9,Low (0-10%)
10306,Staten Island,56818,96866.0,$75k-$100k,9,Low (0-10%)
10307,Staten Island,14794,147184.0,Over $100k,3,Low (0-10%)
10308,Staten Island,29972,125850.0,Over $100k,6,Low (0-10%)
10309,Staten Island,34750,116098.0,Over $100k,6,Low (0-10%)
10310,Staten Island,25746,106250.0,Over $100k,13,Moderate (11-20%)
10312,Staten Island,63324,110719.0,Over $100k,6,Low (0-10%)
10314,Staten Island,92443,104613.0,Over $100k,10,Low (0-10%)
10451,Bronx,48883,38770.0,$30k-$50k,32,Very High (>30%)
10452,Bronx,75256,41288.0,$30k-$50k,36,Very High (>30%)
10453,Bronx,77595,33186.0,$30k-$50k,34,Very High (>30%)
10454,Bronx,40174,24086.0,Under $30k,43,Very High (>30%)
10455,Bronx,42777,36115.0,$30k-$50k,33,Very High (>30%)
10456,Bronx,85724,34954.0,$30k-$50k,37,Very High (>30%)
10457,Bronx,78637,42683.0,$30k-$50k,34,Very High (>30%)
10458,Bronx,75230,40800.0,$30k-$50k,30,High (21-30%)
10459,Bronx,49182,38006.0,$30k-$50k,34,Very High (>30%)
10460,Bronx,60645,36309.0,$30k-$50k,34,Very High (>30%)
10461,Bronx,49648,67028.0,$50k-$75k,17,Moderate (11-20%)
10462,Bronx,74730,60966.0,$50k-$75k,20,Moderate (11-20%)
10463,Bronx,67233,74974.0,$50k-$75k,20,Moderate (11-20%)
10464,Bronx,4273,103125.0,Over $100k,6,Low (0-10%)
10465,Bronx,44514,87985.0,$75k-$100k,14,Moderate (11-20%)
10466,Bronx,72986,65969.0,$50k-$75k,20,Moderate (11-20%)
10467,Bronx,94609,49330.0,$30k-$50k,27,High (21-30%)
10468,Bronx,78488,46233.0,$30k-$50k,27,High (21-30%)
10469,Bronx,67513,76020.0,$75k-$100k,15,Moderate (11-20%)
10470,Bronx,15444,90046.0,$75k-$100k,11,Moderate (11-20%)
10471,Bronx,20576,103046.0,Over $100k,6,Low (0-10%)
10472,Bronx,63340,41039.0,$30k-$50k,32,Very High (>30%)
10473,Bronx,59055,52462.0,$50k-$75k,24,High (21-30%)
10474,Bronx,10636,41586.0,$30k-$50k,32,Very High (>30%)
10475,Bronx,41795,62712.0,$50k-$75k,15,Moderate (11-20%)
11101,Queens,38609,121062.0,Over $100k,14,Moderate (11-20%)
11102,Queens,28019,96617.0,$75k-$100k,12,Moderate (11-20%)
11103,Queens,35305,93324.0,$75k-$100k,10,Low (0-10%)
11104,Queens,26744,80709.0,$75k-$100k,9,Low (0-10%)
11105,Queens,38433,102012.0,Over $100k,9,Low (0-10%)
11106,Queens,40529,84867.0,$75k-$100k,15,Moderate (11-20%)
11109,Queens,7388,204885.0,Over $100k,3,Low (0-10%)
11201,Brooklyn,65955,173136.0,Over $100k,10,Low (0-10%)
11203,Brooklyn,75125,67897.0,$50k-$75k,16,Moderate (11-20%)
11204,Brooklyn,80979,69479.0,$50k-$75k,20,Moderate (11-20%)
11205,Brooklyn,48002,93887.0,$75k-$100k,27,High (21-30%)
11206,Brooklyn,88998,61430.0,$50k-$75k,33,Very High (>30%)
11207,Brooklyn,92390,56523.0,$50k-$75k,27,High (21-30%)
11208,Brooklyn,106115,62077.0,$50k-$75k,20,Moderate (11-20%)
11209,Brooklyn,70347,93854.0,$75k-$100k,11,Moderate (11-20%)
11210,Brooklyn,60026,83692.0,$75k-$100k,11,Moderate (11-20%)
11211,Brooklyn,65492,107506.0,Over $100k,21,High (21-30%)
11212,Brooklyn,86942,41355.0,$30k-$50k,34,Very High (>30%)
11213,Brooklyn,68663,65127.0,$50k-$75k,22,High (21-30%)
11214,Brooklyn,88181,65895.0,$50k-$75k,19,Moderate (11-20%)
11215,Brooklyn,70394,185865.0,Over $100k,6,Low (0-10%)
11216,Brooklyn,59588,101277.0,Over $100k,16,Moderate (11-20%)
11217,Brooklyn,42046,162863.0,Over $100k,10,Low (0-10%)
11218,Brooklyn,70509,97366.0,$75k-$100k,12,Moderate (11-20%)
11219,Brooklyn,93825,58347.0,$50k-$75k,32,Very High (>30%)
11220,Brooklyn,90294,69883.0,$50k-$75k,23,High (21-30%)
11221,Brooklyn,90357,85736.0,$75k-$100k,22,High (21-30%)
11222,Brooklyn,41204,125734.0,Over $100k,10,Low (0-10%)
11223,Brooklyn,78172,63368.0,$50k-$75k,20,Moderate (11-20%)
11224,Brooklyn,47327,43648.0,$30k-$50k,28,High (21-30%)
11225,Brooklyn,56521,88568.0,$75k-$100k,14,Moderate (11-20%)
11226,Brooklyn,99482,81014.0,$75k-$100k,15,Moderate (11-20%)
11228,Brooklyn,42083,83665.0,$75k-$100k,13,Moderate (11-20%)
11229,Brooklyn,79545,70603.0,$50k-$75k,16,Moderate (11-20%)
11230,Brooklyn,87760,70027.0,$50k-$75k,19,Moderate (11-20%)
11231,Brooklyn,39677,139930.0,Over $100k,13,Moderate (11-20%)
11232,Brooklyn,24790,90891.0,$75k-$100k,17,Moderate (11-20%)
11233,Brooklyn,82077,62411.0,$50k-$75k,24,High (21-30%)
11234,Brooklyn,87539,97479.0,$75k-$100k,10,Low (0-10%)
11235,Brooklyn,80872,59661.0,$50k-$75k,17,Moderate (11-20%)
11236,Brooklyn,94212,81464.0,$75k-$100k,13,Moderate (11-20%)
11237,Brooklyn,45077,85196.0,$75k-$100k,21,High (21-30%)
11238,Brooklyn,57947,134523.0,Over $100k,12,Moderate (11-20%)
11239,Brooklyn,15886,38015.0,$30k-$50k,25,High (21-30%)
11249,Brooklyn,45174,123047.0,Over $100k,19,Moderate (11-20%)
11354,Queens,50724,66010.0,$50k-$75k,18,Moderate (11-20%)
11355,Queens,79438,55326.0,$50k-$75k,22,High (21-30%)
11356,Queens,26933,86730.0,$75k-$100k,9,Low (0-10%)
11357,Queens,41983,96988.0,$75k-$100k,9,Low (0-10%)
11358,Queens,36426,88165.0,$75k-$100k,10,Low (0-10%)
11360,Queens,19416,98875.0,$75k-$100k,8,Low (0-10%)
11361,Queens,29775,105932.0,Over $100k,9,Low (0-10%)
11362,Queens,18034,122090.0,Over $100k,6,Low (0-10%)
11363,Queens,7515,125015.0,Over $100k,9,Low (0-10%)
11364,Queens,36388,98359.0,$75k-$100k,7,Low (0-10%)
11365,Queens,43258,81258.0,$75k-$100k,10,Low (0-10%)
11366,Queens,12831,135373.0,Over $100k,11,Moderate (11-20%)
11367,Queens,40950,75061.0,$75k-$100k,14,Moderate (11-20%)
11368,Queens,105262,72270.0,$50k-$75k,18,Moderate (11-20%)
11369,Queens,32463,80297.0,$75k-$100k,15,Moderate (11-20%)
11370,Queens,25060,76009.0,$75k-$100k,11,Moderate (11-20%)
11372,Queens,66565,78606.0,$75k-$100k,15,Moderate (11-20%)
11373,Queens,98329,71480.0,$50k-$75k,12,Moderate (11-20%)
11374,Queens,45946,90631.0,$75k-$100k,14,Moderate (11-20%)
11375,Queens,74847,105904.0,Over $100k,8,Low (0-10%)
11377,Queens,83058,73073.0,$50k-$75k,11,Moderate (11-20%)
11378,Queens,37485,85830.0,$75k-$100k,13,Moderate (11-20%)
11379,Queens,36931,93558.0,$75k-$100k,7,Low (0-10%)
11385,Queens,103625,88838.0,$75k-$100k,12,Moderate (11-20%)
11411,Queens,20354,116458.0,Over $100k,6,Low (0-10%)
11412,Queens,41164,97979.0,$75k-$100k,10,Low (0-10%)
11413,Queens,44776,118440.0,Over $100k,6,Low (0-10%)
11414,Queens,31090,95051.0,$75k-$100k,6,Low (0-10%)
11415,Queens,21237,86394.0,$75k-$100k,9,Low (0-10%)
11416,Queens,26428,81188.0,$75k-$100k,15,Moderate (11-20%)
11417,Queens,29928,87006.0,$75k-$100k,12,Moderate (11-20%)
11418,Queens,35718,90156.0,$75k-$100k,10,Low (0-10%)
