X,Y,Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
-8775111.85588509,5284600.05804253,1606685,Red Sea Grocery Inc,1441 Electric Ave,,Buffalo,NY,14218,2658,ERIE,Convenience Store,42.819908,-78.828171,,,1
-8226908.89339996,4979166.54774312,961466,Steinway Deli Mart Inc.,2079 Steinway St,,Astoria,NY,11105,1636,QUEENS,Convenience Store,40.7747,-73.90358,,,11
-8228144.53974776,4979764.84969907,1534952,Astoria Town Deli Grocery Corp,24-20 Ditmars Blvd,,Astoria,NY,11105,3348,QUEENS,Convenience Store,40.77877,-73.91468,,,37
-8236046.44248223,5043456.84267678,1654716,North Rockland Gourmet Deli Inc,15 N Route 9W,,West Haverstraw,NY,10993,1120,ROCKLAND,Convenience Store,41.210613,-73.985664,,,47
-8235749.21944182,4955366.79885646,1649683,Optom Uz Halal Inc,6710 Bay Pkwy,,Brooklyn,NY,11204,4734,KINGS,Convenience Store,40.612598,-73.982994,,,48
-8228407.03110705,4988787.63096112,1205975,Sea & Salt Seafood Corp,15 E 170th St,,Bronx,NY,10452,7016,BRONX,Other,40.840118,-73.917038,,,50
-8227775.18167731,4979265.77219057,1351782,7-Eleven 35050J,2229 31st St,,Astoria,NY,11105,2713,QUEENS,Convenience Store,40.775375,-73.911362,,,62
-8221235.49555168,4966070.56350963,1649041,Mena Grocery Inc,8820 95th Ave,,Ozone Park,NY,11416,1326,QUEENS,Convenience Store,40.685551,-73.852615,,,71
-8232096.38167092,4986127.49359742,1623862,Alz Campus Deli Corp,1622 Amsterdam Ave,,New York,NY,10031,8933,NEW YORK,Grocery Store,40.822037,-73.95018,,,77
-8230017.26754138,4991487.93933646,1632604,Lai Lai Mini Market & Discount Inc,4520 Broadway,,New York,NY,10040,4900,NEW YORK,Grocery Store,40.858467,-73.931503,,,79
-8228185.39400088,4989447.29720764,1630685,McDonald's MT Eden #22381,1 W Mount Eden Ave,,Bronx,NY,10452,2003,BRONX,Restaurant Meals Program,40.844601,-73.915047,,,81
-8220107.71779045,4996026.68376985,1656807,Stop Deli And Grocery 1 Corp,3929 Baychester Ave,,Bronx,NY,10466,2413,BRONX,Convenience Store,40.889297,-73.842484,,,82
-8465146.07335595,5316215.51680514,1634763,Joe's Kwik Marts 467,6896 E Genesee St,,Fayetteville,NY,13066,8706,ONONDAGA,Convenience Store,43.027874,-76.043701,,,83
-8221443.66299946,4996450.92810517,1648875,Start Fresh Deli Corp,4188 Barnes Ave,,Bronx,NY,10466,4346,BRONX,Convenience Store,40.892178,-73.854485,,,85
-8246192.21219262,4959711.56862092,1627097,Hyatt Bagel Cafe,9 Hyatt St,,Staten Island,NY,10301,1801,RICHMOND,Convenience Store,40.64222,-74.076805,,,86
-8229096.65535252,4988145.07682551,1652583,Jerome's Belly Deli Inc.,1177 Jerome Ave,,Bronx,NY,10452,3331,BRONX,Grocery Store,40.835751,-73.923233,,,89
-8217725.36936799,4998333.96539437,1635629,Columbus & Elliot Express Deli,350 S Columbus Ave,,Mount Vernon,NY,10553,1919,WESTCHESTER,Convenience Store,40.904964,-73.821083,,,92
-8210456.20661918,4975396.17767297,940883,Leena of NY Inc. d/b/a New Mart,22112 Horace Harding Expy,,Oakland Gardens,NY,11364,2333,QUEENS,Grocery Store,40.749046,-73.755783,,,93
